CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,NO_CURSO_EDUC_PROFISSIONAL
32057504,CEEFMTI SENADOR DIRCEU CARDOSO,Muqui,Guia de Turismo
32057504,CEEFMTI SENADOR DIRCEU CARDOSO,Muqui,Redes de Computadores
32006349,EEEM DOM DANIEL COMBONI,Nova Venécia,Controle Ambiental
32006349,EEEM DOM DANIEL COMBONI,Nova Venécia,Química
32007094,ESCOLA FAMILIA AGRICOLA DE CHAPADINHA - MEPES,Nova Venécia,Agropecuária
32007175,EEEFM ALARICO JOSE DE LIMA,Nova Venécia,Agronegócio
32101856,IFES - CAMPUS NOVA VENECIA,Nova Venécia,Edificações
32101856,IFES - CAMPUS NOVA VENECIA,Nova Venécia,Mineração
32013272,EEEFM ARARIBOIA,Pancas,Agronegócio
32017243,EEEFM DR EDWARD ABREU DO NASCIMENTO,Pedro Canário,Logística
32015631,EEEM NOSSA SENHORA DE LOURDES,Pinheiros,Administração
32015631,EEEM NOSSA SENHORA DE LOURDES,Pinheiros,Informática para Internet
32044747,EEEFM PROFESSORA FILOMENA QUITIBA,Piúma,Administração
32044747,EEEFM PROFESSORA FILOMENA QUITIBA,Piúma,Logística
32078480,IFES - CAMPUS PIUMA,Piúma,"Outros - Eixo Turismo, hospitalidade e Lazer"
32078480,IFES - CAMPUS PIUMA,Piúma,Aquicultura
32078480,IFES - CAMPUS PIUMA,Piúma,Pesca
32015070,EEEFM PROF MARIA MAGDALENA DA SILVA,Ponto Belo,Vendas
32060920,EEEFM PRESIDENTE KENNEDY,Presidente Kennedy,Agronegócio
32025149,EEEFM BANANAL,Rio Bananal,Administração
32025149,EEEFM BANANAL,Rio Bananal,Agronegócio
32062222,ESCOLA FAMILIA AGRICOLA DE RIO BANANAL - MEPES,Rio Bananal,Agropecuária
32031661,EEEFM ALICE HOLZMEISTER,Santa Leopoldina,Administração
32031661,EEEFM ALICE HOLZMEISTER,Santa Leopoldina,Agronegócio
32032277,EEEFM GRACA ARANHA,Santa Maria de Jetibá,Meio Ambiente
32032277,EEEFM GRACA ARANHA,Santa Maria de Jetibá,Administração
32032277,EEEFM GRACA ARANHA,Santa Maria de Jetibá,Agronegócio
32032579,EEEFM FAZENDA EMILIO SCHROEDER,Santa Maria de Jetibá,Agropecuária
32032641,ESCOLA FAMILIA AGRICOLA DE SAO JOAO DO GARRAFAO - MEPES,Santa Maria de Jetibá,Agropecuária
32081340,IFES - CAMPUS CENTRO SERRANO,Santa Maria de Jetibá,Administração
32081340,IFES - CAMPUS CENTRO SERRANO,Santa Maria de Jetibá,Agricultura
32032951,EEEFM JOSE PINTO COELHO,Santa Teresa,Guia de Turismo
32033486,IFES - CAMPUS SANTA TERESA,Santa Teresa,Meio Ambiente
32033486,IFES - CAMPUS SANTA TERESA,Santa Teresa,Informática
32033486,IFES - CAMPUS SANTA TERESA,Santa Teresa,Agropecuária
32007876,CEEFMTI GOVERNADOR GERSON CAMATA,São Gabriel da Palha,Comércio Exterior
32007930,ESCOLA FAMILIA AGRICOLA DE ENSINO FUNDAMENTAL E MEDIO E EDUCACAO PROFISSIONAL DO BLEY - MEPES,São Gabriel da Palha,Agropecuária
32082274,EEEFM ILDA FERREIRA DA FONSECA MARTINS,São Gabriel da Palha,Administração
32082860,GRUPO DE ENSINO REFERENCIA EDUCACIONAL LTDA,São Gabriel da Palha,Enfermagem
32082860,GRUPO DE ENSINO REFERENCIA EDUCACIONAL LTDA,São Gabriel da Palha,Estética
32058268,EEEFM MERCES GARCIA VIEIRA,São José do Calçado,Manutenção e Suporte em Informática
32058268,EEEFM MERCES GARCIA VIEIRA,São José do Calçado,Segurança do Trabalho
32017952,EEEFM AMERICO SILVARES,São Mateus,Logística
32018096,EEEFM SANTO ANTONIO,São Mateus,Comércio
32018169,EEEM CECILIANO ABEL DE ALMEIDA,São Mateus,Administração
32018169,EEEM CECILIANO ABEL DE ALMEIDA,São Mateus,Secretariado
32018169,EEEM CECILIANO ABEL DE ALMEIDA,São Mateus,Outros - Eixo Informação e Comunicação
32018169,EEEM CECILIANO ABEL DE ALMEIDA,São Mateus,Produção de Áudio e Vídeo
32070594,ESCOLA MASTER,São Mateus,Enfermagem
32070594,ESCOLA MASTER,São Mateus,Eletrotécnica
32070594,ESCOLA MASTER,São Mateus,Mecânica
32070594,ESCOLA MASTER,São Mateus,Segurança do Trabalho
32077769,ESCOLA TECNICA SAO MATEUS,São Mateus,Mecânica
32077769,ESCOLA TECNICA SAO MATEUS,São Mateus,Segurança do Trabalho
32078722,EEEFM WALLACE CASTELLO DUTRA,São Mateus,Administração
32079605,IFES - CAMPUS SAO MATEUS,São Mateus,Eletrotécnica
32079605,IFES - CAMPUS SAO MATEUS,São Mateus,Mecânica
32083475,CENTRO DE EDUCACAO PROFISSIONAL SAO MATEUS,São Mateus,Eletroeletrônica
32083475,CENTRO DE EDUCACAO PROFISSIONAL SAO MATEUS,São Mateus,Eletromecânica
32083475,CENTRO DE EDUCACAO PROFISSIONAL SAO MATEUS,São Mateus,Eletrotécnica
32083475,CENTRO DE EDUCACAO PROFISSIONAL SAO MATEUS,São Mateus,Mecânica
32083475,CENTRO DE EDUCACAO PROFISSIONAL SAO MATEUS,São Mateus,Logística
32083475,CENTRO DE EDUCACAO PROFISSIONAL SAO MATEUS,São Mateus,Desenvolvimento de Sistemas
32083670,ESCOLA VALE DO CRICARE,São Mateus,Enfermagem
32083670,ESCOLA VALE DO CRICARE,São Mateus,Prótese Dentária
32083670,ESCOLA VALE DO CRICARE,São Mateus,Radiologia
32084030,SEST SENAT - C 123 SAO MATEUS,São Mateus,Logística
32033540,EEEFM DAVID ROLDI,São Roque do Canaã,Recursos Humanos
32035500,EEEFM PROFESSOR JOAO ANTUNES DAS DORES,Serra,Administração
32035500,EEEFM PROFESSOR JOAO ANTUNES DAS DORES,Serra,Logística
32035527,EEEM CLOVIS BORGES MIGUEL,Serra,Administração
32035527,EEEM CLOVIS BORGES MIGUEL,Serra,Marketing
32036523,EEEFM ROMULO CASTELLO,Serra,Gerência de Saúde
32036523,EEEFM ROMULO CASTELLO,Serra,Administração
32036523,EEEFM ROMULO CASTELLO,Serra,Logística
32036531,EEEFM SIZENANDO PECHINCHA,Serra,Administração
32036558,EEEFM BELMIRO TEIXEIRA PIMENTA,Serra,Manutenção e Suporte em Informática
32036558,EEEFM BELMIRO TEIXEIRA PIMENTA,Serra,Redes de Computadores
32036582,EEEFM PROF HILDA MIRANDA NASCIMENTO,Serra,Manutenção e Suporte em Informática
32036582,EEEFM PROF HILDA MIRANDA NASCIMENTO,Serra,Redes de Computadores
32037368,EEEFM ARISTOBULO BARBOSA LEAO,Serra,Administração
32037368,EEEFM ARISTOBULO BARBOSA LEAO,Serra,Logística
32065264,EEEFM FRANCISCA PEIXOTO MIGUEL,Serra,Administração
32065264,EEEFM FRANCISCA PEIXOTO MIGUEL,Serra,Informática para Internet
32074425,EEEFM ANTONIO JOSE PEIXOTO MIGUEL,Serra,Administração
32075979,IFES - CAMPUS SERRA,Serra,Automação Industrial
32075979,IFES - CAMPUS SERRA,Serra,Informática
32075979,IFES - CAMPUS SERRA,Serra,Informática para Internet
32075979,IFES - CAMPUS SERRA,Serra,Manutenção e Suporte em Informática
32075979,IFES - CAMPUS SERRA,Serra,Outros - Eixo Informação e Comunicação
32079320,ESCOLA TECNICA CEDTEC,Serra,Análises clínicas
32079320,ESCOLA TECNICA CEDTEC,Serra,Enfermagem
32079320,ESCOLA TECNICA CEDTEC,Serra,Prótese Dentária
32079320,ESCOLA TECNICA CEDTEC,Serra,Radiologia
32079320,ESCOLA TECNICA CEDTEC,Serra,Automação Industrial
32079320,ESCOLA TECNICA CEDTEC,Serra,Eletrotécnica
32079320,ESCOLA TECNICA CEDTEC,Serra,Mecânica
32079320,ESCOLA TECNICA CEDTEC,Serra,Administração
32079320,ESCOLA TECNICA CEDTEC,Serra,Logística
32079320,ESCOLA TECNICA CEDTEC,Serra,Desenvolvimento de Sistemas
32079320,ESCOLA TECNICA CEDTEC,Serra,Edificações
32079320,ESCOLA TECNICA CEDTEC,Serra,Segurança do Trabalho
32079877,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL JONES SANTOS NEVES,Serra,Eletroeletrônica
32079877,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL JONES SANTOS NEVES,Serra,Eletromecânica
32079877,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL JONES SANTOS NEVES,Serra,Eletrotécnica
32079877,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL JONES SANTOS NEVES,Serra,Mecânica
32079877,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL JONES SANTOS NEVES,Serra,Sistemas de Energia Renovável
32079877,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL JONES SANTOS NEVES,Serra,Desenvolvimento de Sistemas
32079877,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL JONES SANTOS NEVES,Serra,Plásticos
32081430,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL E ASSESSORIA EIRELI ME,Serra,Enfermagem
32081430,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL E ASSESSORIA EIRELI ME,Serra,Estética
32081430,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL E ASSESSORIA EIRELI ME,Serra,Veterinária
32081430,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL E ASSESSORIA EIRELI ME,Serra,Eletrotécnica
32081430,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL E ASSESSORIA EIRELI ME,Serra,Mecânica
32081430,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL E ASSESSORIA EIRELI ME,Serra,Administração
32081430,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL E ASSESSORIA EIRELI ME,Serra,Logística
32081430,IDEA - INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL E ASSESSORIA EIRELI ME,Serra,Segurança do Trabalho
32081618,CEEFMTI JOAQUIM BEATO,Serra,Administração
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Enfermagem
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Meio Ambiente
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Radiologia
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Automação Industrial
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Eletrotécnica
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Mecânica
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Refrigeração e Climatização
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Administração
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Contabilidade
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Finanças
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Logística
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Recursos Humanos
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Transações Imobiliárias
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Edificações
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Design de Interiores
32082070,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA,Serra,Segurança do Trabalho
32082789,GRAUSERRA EDUCACIONAL LTDA,Serra,Análises clínicas
32082789,GRAUSERRA EDUCACIONAL LTDA,Serra,Enfermagem
32082789,GRAUSERRA EDUCACIONAL LTDA,Serra,Farmácia
32082789,GRAUSERRA EDUCACIONAL LTDA,Serra,Radiologia
32082789,GRAUSERRA EDUCACIONAL LTDA,Serra,Eletroeletrônica
32082789,GRAUSERRA EDUCACIONAL LTDA,Serra,Eletrotécnica
32082789,GRAUSERRA EDUCACIONAL LTDA,Serra,Mecânica
32082789,GRAUSERRA EDUCACIONAL LTDA,Serra,Administração
32023014,EEEFM ARMANDO BARBOSA QUITIBA,Sooretama,Meio Ambiente
32023014,EEEFM ARMANDO BARBOSA QUITIBA,Sooretama,Informática para Internet
32023014,EEEFM ARMANDO BARBOSA QUITIBA,Sooretama,Agronegócio
32058918,EEEFM PRESIDENTE LUEBKE,Vargem Alta,Administração
32083823,CEET GIUSEPPE ALTOE,Vargem Alta,Cooperativismo
32030177,EEEFM FIORAVANTE CALIMAN,Venda Nova do Imigrante,Informática para Internet
32115032,IFES - CAMPUS VENDA NOVA DO IMIGRANTE,Venda Nova do Imigrante,Administração
32115032,IFES - CAMPUS VENDA NOVA DO IMIGRANTE,Venda Nova do Imigrante,Agroindústria
32037775,EEEFM MARIA DE NOVAES PINHEIRO,Viana,Administração
32037775,EEEFM MARIA DE NOVAES PINHEIRO,Viana,Logística
32037791,EEEFM NELSON VIEIRA PIMENTEL,Viana,Gerência de Saúde
32037791,EEEFM NELSON VIEIRA PIMENTEL,Viana,Administração
32037791,EEEFM NELSON VIEIRA PIMENTEL,Viana,Logística
32065043,CEEFMTI EWERTON MONTENEGRO GUIMARAES,Viana,Manutenção e Suporte em Informática
32081804,IFES - CAMPUS AVANCADO VIANA,Viana,Logística
32007000,CEIER DE VILA PAVAO,Vila Pavão,Agropecuária
32038496,EEEFM FRANCELINA CARNEIRO SETUBAL,Vila Velha,Administração
32038496,EEEFM FRANCELINA CARNEIRO SETUBAL,Vila Velha,Condomínio
32038496,EEEFM FRANCELINA CARNEIRO SETUBAL,Vila Velha,Transações Imobiliárias
32038500,EEEFM LUIZ MANOEL VELLOZO,Vila Velha,Design de Interiores
32038500,EEEFM LUIZ MANOEL VELLOZO,Vila Velha,Multimídia
32038534,EEEFM PROF GERALDO COSTA ALVES,Vila Velha,Administração
32038534,EEEFM PROF GERALDO COSTA ALVES,Vila Velha,Design Gráfico
32038569,CEET VASCO COUTINHO,Vila Velha,Estética
32038569,CEET VASCO COUTINHO,Vila Velha,Administração
32038569,CEET VASCO COUTINHO,Vila Velha,Logística
32038569,CEET VASCO COUTINHO,Vila Velha,Gastronomia
32038569,CEET VASCO COUTINHO,Vila Velha,Eventos
32038569,CEET VASCO COUTINHO,Vila Velha,Informática
32038569,CEET VASCO COUTINHO,Vila Velha,Programação de Jogos Digitais
32038569,CEET VASCO COUTINHO,Vila Velha,Redes de Computadores
32038569,CEET VASCO COUTINHO,Vila Velha,Modelagem do Vestuário
32038569,CEET VASCO COUTINHO,Vila Velha,Multimídia
32038569,CEET VASCO COUTINHO,Vila Velha,Produção de Moda
32038569,CEET VASCO COUTINHO,Vila Velha,Rádio e Televisão
32038941,EEEM DR FRANCISCO FREITAS LIMA,Vila Velha,Logística
32038941,EEEM DR FRANCISCO FREITAS LIMA,Vila Velha,Recursos Humanos
32038941,EEEM DR FRANCISCO FREITAS LIMA,Vila Velha,Segurança do Trabalho
32039085,EEEM BENICIO GONCALVES,Vila Velha,Administração
32039085,EEEM BENICIO GONCALVES,Vila Velha,Publicidade
32039352,CEEFMTI ASSISOLINA ASSIS ANDRADE,Vila Velha,Informática para Internet
32039395,ESCOLA DE EDUCACACAO BASICA E PROFISSIONAL DOUTOR RONALDO YOUNG CARNEIRO DA ROCHA,Vila Velha,Administração
32039409,EEEFM FLORENTINO AVIDOS,Vila Velha,Comércio
32039409,EEEFM FLORENTINO AVIDOS,Vila Velha,Recursos Humanos
32039417,CEEFMTI PROFESSORA MAURA ABAURRE,Vila Velha,Produção de Áudio e Vídeo
32039654,CAT ARLETHE ZORZANELLI BUAIZ,Vila Velha,Edificações
32039654,CAT ARLETHE ZORZANELLI BUAIZ,Vila Velha,Produção de Moda
32039867,EEEM ORMANDA GONCALVES,Vila Velha,Logística
32039867,EEEM ORMANDA GONCALVES,Vila Velha,Manutenção e Suporte em Informática
32039867,EEEM ORMANDA GONCALVES,Vila Velha,Redes de Computadores
32062648,EEEM PROFESSOR AGENOR RORIS,Vila Velha,Marketing
32062648,EEEM PROFESSOR AGENOR RORIS,Vila Velha,Manutenção e Suporte em Informática
32065523,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL HELCIO REZENDE DIAS,Vila Velha,Eletrotécnica
32065523,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL HELCIO REZENDE DIAS,Vila Velha,Edificações
32065523,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL HELCIO REZENDE DIAS,Vila Velha,Alimentos
32076606,CE RADIER,Vila Velha,Enfermagem
32076606,CE RADIER,Vila Velha,Eletrotécnica
32076606,CE RADIER,Vila Velha,Informática
32078153,CFT - CENTRO DE FORMACAO TECNICA LTDA ME,Vila Velha,Enfermagem
32078153,CFT - CENTRO DE FORMACAO TECNICA LTDA ME,Vila Velha,Radiologia
32078153,CFT - CENTRO DE FORMACAO TECNICA LTDA ME,Vila Velha,Segurança do Trabalho
32078498,IFES - CAMPUS VILA VELHA,Vila Velha,Química
32079230,EEEM MARIO GURGEL,Vila Velha,Informática para Internet
32079230,EEEM MARIO GURGEL,Vila Velha,Manutenção e Suporte em Informática
32080760,CENTRO TECNICO PROFISSIONALIZANTE NOVO MILENIO,Vila Velha,Enfermagem
32080760,CENTRO TECNICO PROFISSIONALIZANTE NOVO MILENIO,Vila Velha,Podologia
32080760,CENTRO TECNICO PROFISSIONALIZANTE NOVO MILENIO,Vila Velha,Eletroeletrônica
32080760,CENTRO TECNICO PROFISSIONALIZANTE NOVO MILENIO,Vila Velha,Administração
32080760,CENTRO TECNICO PROFISSIONALIZANTE NOVO MILENIO,Vila Velha,Informática
32080760,CENTRO TECNICO PROFISSIONALIZANTE NOVO MILENIO,Vila Velha,Edificações
32080760,CENTRO TECNICO PROFISSIONALIZANTE NOVO MILENIO,Vila Velha,Segurança do Trabalho
32081308,EEEFM CORA CORALINA,Vila Velha,Logística
32081634,CEEFMTI PASTOR OLIVEIRA DE ARAUJO,Vila Velha,Manutenção e Suporte em Informática
32083084,GRAU TECNICO UNIDADE VILA VELHA,Vila Velha,Enfermagem
32083084,GRAU TECNICO UNIDADE VILA VELHA,Vila Velha,Radiologia
32083084,GRAU TECNICO UNIDADE VILA VELHA,Vila Velha,Eletrotécnica
32083084,GRAU TECNICO UNIDADE VILA VELHA,Vila Velha,Administração
32083386,ESCOLA NOVO MILENIO,Vila Velha,Ensino Médio - Curso Normal/Magistério
32040008,CE DOM FERNANDO,Vitória,Transações Imobiliárias
32040067,EEEM COLEGIO ESTADUAL DO ESPIRITO SANTO,Vitória,Outros - Eixo Informação e Comunicação
32040334,EEEFM IRMA MARIA HORTA,Vitória,Manutenção e Suporte em Informática
32040695,EEEFM AFLORDIZIO CARVALHO DA SILVA,Vitória,Gerência de Saúde
32040695,EEEFM AFLORDIZIO CARVALHO DA SILVA,Vitória,Administração
32040725,EEEFM MAJOR ALFREDO PEDRO RABAYOLLI,Vitória,Administração
32040725,EEEFM MAJOR ALFREDO PEDRO RABAYOLLI,Vitória,Logística
32040725,EEEFM MAJOR ALFREDO PEDRO RABAYOLLI,Vitória,Informática para Internet
32040784,CEEMTI PROF FERNANDO DUARTE RABELO,Vitória,Comércio Exterior
32040784,CEEMTI PROF FERNANDO DUARTE RABELO,Vitória,Recursos Humanos
32040784,CEEMTI PROF FERNANDO DUARTE RABELO,Vitória,Manutenção e Suporte em Informática
32041209,IFES - CAMPUS VITORIA,Vitória,Meio Ambiente
32041209,IFES - CAMPUS VITORIA,Vitória,Eletrotécnica
32041209,IFES - CAMPUS VITORIA,Vitória,Mecânica
32041209,IFES - CAMPUS VITORIA,Vitória,Metalurgia
32041209,IFES - CAMPUS VITORIA,Vitória,Guia de Turismo
32041209,IFES - CAMPUS VITORIA,Vitória,Hospedagem
32041209,IFES - CAMPUS VITORIA,Vitória,"Outros - Eixo Turismo, hospitalidade e Lazer"
32041209,IFES - CAMPUS VITORIA,Vitória,Edificações
32041209,IFES - CAMPUS VITORIA,Vitória,Estradas
32041209,IFES - CAMPUS VITORIA,Vitória,Geoprocessamento
32041209,IFES - CAMPUS VITORIA,Vitória,Segurança do Trabalho
32041390,CAT JOSE TARQUINIO SILVA,Vitória,Outros - Eixo Controle e Processos Industriais
32041390,CAT JOSE TARQUINIO SILVA,Vitória,Programação de Jogos Digitais
32041390,CAT JOSE TARQUINIO SILVA,Vitória,Outros - Eixo Segurança
32041560,EEEFM ALMIRANTE BARROSO,Vitória,Administração
32041560,EEEFM ALMIRANTE BARROSO,Vitória,Logística
32041560,EEEFM ALMIRANTE BARROSO,Vitória,Redes de Computadores
32041640,EEEM ARNULPHO MATTOS,Vitória,Automação Industrial
32041640,EEEM ARNULPHO MATTOS,Vitória,Eletrotécnica
32041640,EEEM ARNULPHO MATTOS,Vitória,Mecânica
32041640,EEEM ARNULPHO MATTOS,Vitória,Sistemas de Energia Renovável
32041640,EEEM ARNULPHO MATTOS,Vitória,Administração
32041640,EEEM ARNULPHO MATTOS,Vitória,Segurança do Trabalho
32063199,EEEFM ELZA LEMOS ANDREATTA,Vitória,Administração
32065124,INSTITUTO DE ENSINO HUMBOLDT,Vitória,Análises clínicas
32065124,INSTITUTO DE ENSINO HUMBOLDT,Vitória,Enfermagem
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Enfermagem
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Estética
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Podologia
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Administração
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Logística
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Recursos Humanos
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Informática
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Informática para Internet
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Programação de Jogos Digitais
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Desenvolvimento de Sistemas
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Design de Interiores
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Segurança do Trabalho
32067682,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,Vitória,Outros - Eixo Segurança
32068956,ESCOLA TECNICA DE SAUDE DO ES - ETESES,Vitória,Enfermagem
32068956,ESCOLA TECNICA DE SAUDE DO ES - ETESES,Vitória,Estética
32068956,ESCOLA TECNICA DE SAUDE DO ES - ETESES,Vitória,Radiologia
32068956,ESCOLA TECNICA DE SAUDE DO ES - ETESES,Vitória,Administração
32068956,ESCOLA TECNICA DE SAUDE DO ES - ETESES,Vitória,Logística
32068956,ESCOLA TECNICA DE SAUDE DO ES - ETESES,Vitória,Segurança do Trabalho
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Automação Industrial
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Eletroeletrônica
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Eletrotécnica
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Manutenção Automotiva
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Mecânica
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Informática para Internet
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Programação de Jogos Digitais
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Desenvolvimento de Sistemas
32070144,SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,Vitória,Outros - Eixo Informação e Comunicação
32079338,EEEM PROF RENATO JOSE DA COSTA PACHECO,Vitória,Controle Ambiental
32079338,EEEM PROF RENATO JOSE DA COSTA PACHECO,Vitória,Marketing
32079338,EEEM PROF RENATO JOSE DA COSTA PACHECO,Vitória,Redes de Computadores
32080158,ORAL PROTESE LTDA ME,Vitória,Órteses e Próteses
32080158,ORAL PROTESE LTDA ME,Vitória,Prótese Dentária
32081901,IFES - CEFOR,Vitória,Multimeios Didáticos
32081944,FORMAR BRASIL - INSTITUTO NACIONAL DE EAD,Vitória,Transações Imobiliárias
32084250,CENTRO TECNICO EDUCARE,Vitória,Administração
